Year;quarter;yearquarter
2016;Tri 1;2016Tri 1
2016;Tri 2;2016Tri 2
2016;Tri 3;2016Tri 3
2016;Tri 4;2016Tri 4
2017;Tri 1;2017Tri 1
2017;Tri 2;2017Tri 2
2017;Tri 3;2017Tri 3
2017;Tri 4;2017Tri 4
2018;Tri 1;2018Tri 1
2018;Tri 2;2018Tri 2
2018;Tri 3;2018Tri 3
2018;Tri 4;2018Tri 4
2019;Tri 1;2019Tri 1
2019;Tri 2;2019Tri 2
2019;Tri 3;2019Tri 3
2019;Tri 4;2019Tri 4
2020;Tri 1;2020Tri 1
2020;Tri 2;2020Tri 2
2020;Tri 3;2020Tri 3
2020;Tri 4;2021Tri 4
2021;Tri 1;2021Tri 5
2021;Tri 2;2021Tri 6
2021;Tri 3;2021Tri 7
2021;Tri 4;2021Tri 8
